Number;Name;Type;Type2;Total;HP;Atk;Def;SpA;SpD;Speed
 120;Staryu;Water;;340;30;45;55;70;55;85
 121;Starmie;Water;Psychic;520;60;75;85;100;85;115
 122;Mr. Mime;Psychic;Fairy;460;40;45;65;100;120;90
 123;Scyther;Bug;Flying;500;70;110;80;55;80;105
 124;Jynx;Ice;Psychic;455;65;50;35;115;95;95
 125;Electabuzz;Electric;;490;65;83;57;95;85;105
 126;Magmar;Fire;;495;65;95;57;100;85;93
 127;Pinsir;Bug;;500;65;125;100;55;70;85
 128;Tauros;Normal;;490;75;100;95;40;70;110
 129;Magikarp;Water;;200;20;10;55;15;20;80
 130;Gyarados;Water;Flying;540;95;125;79;60;100;81
 131;Lapras;Water;Ice;535;130;85;80;85;95;60
 132;Ditto;Normal;;288;48;48;48;48;48;48
 133;Eevee;Normal;;325;55;55;50;45;65;55
 134;Vaporeon;Water;;525;130;65;60;110;95;65
 135;Jolteon;Electric;;525;65;65;60;110;95;130
 136;Flareon;Fire;;525;65;130;60;95;110;65
 137;Porygon;Normal;;395;65;60;70;85;75;40
 138;Omanyte;Rock;Water;355;35;40;100;90;55;35
 139;Omastar;Rock;Water;495;70;60;125;115;70;55
 140;Kabuto;Rock;Water;355;30;80;90;55;45;55
 141;Kabutops;Rock;Water;495;60;115;105;65;70;80
 142;Aerodactyl;Rock;Flying;515;80;105;65;60;75;130
 143;Snorlax;Normal;;540;160;110;65;65;110;30
 144;Articuno;Ice;Flying;580;90;85;100;95;125;85
 145;Zapdos;Electric;Flying;580;90;90;85;125;90;100
 146;Moltres;Fire;Flying;580;90;100;90;125;85;90
 147;Dratini;Dragon;;300;41;64;45;50;50;50
 148;Dragonair;Dragon;;420;61;84;65;70;70;70
 149;Dragonite;Dragon;Flying;600;91;134;95;100;100;80
 150;Mewtwo;Psychic;;680;106;110;90;154;90;130
 151;Mew;Psychic;;600;100;100;100;100;100;100
